cbsa_code,cbsa_name,vintage_present,summary,rem_cty_1_code,rem_cty_1_name,rem_cty_2_code,rem_cty_2_name,rem_cty_3_code,rem_cty_3_name,rem_cty_4_code,rem_cty_4_name,rem_cty_5_code,rem_cty_5_name,rem_cty_6_code,rem_cty_6_name,add_cty_1_code,add_cty_1_name,add_cty_2_code,add_cty_2_name,add_cty_3_code,add_cty_3_name,add_cty_4_code,add_cty_4_name,add_cty_5_code,add_cty_5_name,add_cty_6_code,add_cty_6_name
29780,"Las Vegas, NM",Both,Added: 35033,,,,,,,,,,,,,35033,Mora County,,,,,,,,,,
30150,"Lebanon-Claremont, NH-VT",2023,"New CBSA. Added: 33009, 33019, 50017, 50027",,,,,,,,,,,,,33009,Grafton County,33019,Sullivan County,50017,Orange County,50027,Windsor County,,,,
30180,"Le Mars, IA",2023,New CBSA. Added: 19149,,,,,,,,,,,,,19149,Plymouth County,,,,,,,,,,
30220,"Levelland, TX",2013,,48219,Hockley County,,,,,,,,,,,,,,,,,,,,,,
30500,"Lexington Park, MD",2023,"New CBSA. Added: 24009, 24037",,,,,,,,,,,,,24009,Calvert County,24037,St. Mary's County,,,,,,,,
30880,"Logan, WV",2013,,54045,Logan County,,,,,,,,,,,,,,,,,,,,,,
30940,"London, KY",2013,,21121,Knox County,21125,Laurel County,21235,Whitley County,,,,,,,,,,,,,,,,,,
30980,"Longview, TX",Both,Added: 48203,,,,,,,,,,,,,48203,Harrison County,,,,,,,,,,
31140,"Louisville/Jefferson County, KY-IN",Both,"Removed: 18143, 21223; Added: 21163, 21179",18143,Scott County,21223,Trimble County,,,,,,,,,21163,Meade County,21179,Nelson County,,,,,,,,
31180,"Lubbock, TX",Both,"Added: 48079, 48169, 48219",,,,,,,,,,,,,48079,Cochran County,48169,Garza County,48219,Hockley County,,,,,,
31340,"Lynchburg, VA",Both,Removed: 51515,51515,Bedford city,,,,,,,,,,,,,,,,,,,,,,
31460,"Madera, CA",2013,,06039,Madera County,,,,,,,,,,,,,,,,,,,,,,
31660,"Malone, NY",2013,,36033,Franklin County,,,,,,,,,,,,,,,,,,,,,,
31740,"Manhattan, KS",Both,Added: 20061,,,,,,,,,,,,,20061,Geary County,,,,,,,,,,
32060,"Marion-Herrin, IL",2023,New CBSA. Added: 17199,,,,,,,,,,,,,17199,Williamson County,,,,,,,,,,
32220,"Marshall, TX",2013,,48203,Harrison County,,,,,,,,,,,,,,,,,,,,,,
32390,"Massena-Ogdensburg, NY",2023,New CBSA. Added: 36089,,,,,,,,,,,,,36089,St. Lawrence County,,,,,,,,,,
32420,"Mayagüez, PR",Both,"Added: 72023, 72079, 72121, 72125",,,,,,,,,,,,,72023,Cabo Rojo Municipio,72079,Lajas Municipio,72121,Sabana Grande Municipio,72125,San Germán Municipio,,,,
32500,"Maysville, KY",2013,,21161,Mason County,,,,,,,,,,,,,,,,,,,,,,
32620,"McComb, MS",Both,Removed: 28005; Added: 28147,28005,Amite County,,,,,,,,,,,28147,Walthall County,,,,,,,,,,
32940,"Meridian, MS",Both,Removed: 28069,28069,Kemper County,,,,,,,,,,,,,,,,,,,,,,
32980,"Merrill, WI",2013,,55069,Lincoln County,,,,,,,,,,,,,,,,,,,,,,
33300,"Milledgeville, GA",Both,Removed: 13141,13141,Hancock County,,,,,,,,,,,,,,,,,,,,,,
33380,"Minden, LA",2023,New CBSA. Added: 22119,,,,,,,,,,,,,22119,Webster Parish,,,,,,,,,,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Both,Removed: 27143,27143,Sibley County,,,,,,,,,,,,,,,,,,,,,,
33540,"Missoula, MT",Both,Added: 30061,,,,,,,,,,,,,30061,Mineral County,,,,,,,,,,
33580,"Mitchell, SD",Both,Added: 46111,,,,,,,,,,,,,46111,Sanborn County,,,,,,,,,,
33740,"Monroe, LA",Both,"Added: 22067, 22083",,,,,,,,,,,,,22067,Morehouse Parish,22083,Richland Parish,,,,,,,,
33900,"Monticello, IN",2023,New CBSA. Added: 18181,,,,,,,,,,,,,18181,White County,,,,,,,,,,
33910,"Monticello, NY",2023,New CBSA. Added: 36105,,,,,,,,,,,,,36105,Sullivan County,,,,,,,,,,
34420,"Mount Pleasant, TX",Both,"Added: 48063, 48343",,,,,,,,,,,,,48063,Camp County,48343,Morris County,,,,,,,,
34680,"Murrells Inlet, SC",2023,New CBSA. Added: 45043,,,,,,,,,,,,,45043,Georgetown County,,,,,,,,,,
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",Both,Removed: 37019,37019,Brunswick County,,,,,,,,,,,,,,,,,,,,,,
34880,"Nantucket, MA",2023,New CBSA. Added: 25019,,,,,,,,,,,,,25019,Nantucket County,,,,,,,,,,
35020,"Natchez, MS-LA",Both,Added: 28063,,,,,,,,,,,,,28063,Jefferson County,,,,,,,,,,
35260,"New Castle, PA",2013,,42073,Lawrence County,,,,,,,,,,,,,,,,,,,,,,
35300,"New Haven, CT",Both,Removed: 09009; Added: 09170,09009,New Haven County,,,,,,,,,,,09170,South Central Connecticut Planning Region,,,,,,,,,,
35340,"New Iberia, LA",2023,New CBSA. Added: 22045,,,,,,,,,,,,,22045,Iberia Parish,,,,,,,,,,
35380,"New Orleans-Metairie, LA",Both,Removed: 22103,22103,St. Tammany Parish,,,,,,,,,,,,,,,,,,,,,,
35500,"Newton, IA",2013,,19099,Jasper County,,,,,,,,,,,,,,,,,,,,,,
35620,"New York-Newark-Jersey City, NY-NJ",Both,"Removed: 36027, 36071, 42103",36027,Dutchess County,36071,Orange County,42103,Pike County,,,,,,,,,,,,,,,,,,
35820,"North Platte, NE",Both,Removed: 31117,31117,McPherson County,,,,,,,,,,,,,,,,,,,,,,
35860,"North Vernon, IN",2013,,18079,Jennings County,,,,,,,,,,,,,,,,,,,,,,
35980,"Norwich-New London-Willimantic, CT",Both,Removed: 09011; Added: 09180,09011,New London County,,,,,,,,,,,09180,Southeastern Connecticut Planning Region,,,,,,,,,,
36140,"Ocean City, NJ",2013,,34009,Cape May County,,,,,,,,,,,,,,,,,,,,,,
36180,"Ocean Pines, MD",2023,New CBSA. Added: 24047,,,,,,,,,,,,,24047,Worcester County,,,,,,,,,,
36260,"Ogden, UT",Both,Removed: 49003,49003,Box Elder County,,,,,,,,,,,,,,,,,,,,,,
36300,"Ogdensburg-Massena, NY",2013,,36089,St. Lawrence County,,,,,,,,,,,,,,,,,,,,,,
36837,"Ottawa, IL",2023,"New CBSA. Added: 17011, 17099, 17155",,,,,,,,,,,,,17011,Bureau County,17099,LaSalle County,17155,Putnam County,,,,,,
