STCOU,CBSA,MDIV
18041,18220,
47087,18260,
47133,18260,
47141,18260,
47185,18260,
41011,18300,
21051,18340,
21121,18340,
21125,18340,
21235,18340,
13081,18380,
28003,18420,
13137,18460,
36101,18500,
48349,18620,
36023,18660,
39031,18740,
18107,18820,
06015,18860,
47035,18900,
01043,18980,
24001,19060,
54057,19060,
17183,19180,
21021,19220,
21137,19220,
51143,19260,
51590,19260,
18001,19540,
39039,19580,
48465,19620,
35029,19700,
22011,19760,
27005,19810,
38007,19860,
38025,19860,
38089,19860,
17103,19940,
20057,19980,
13003,20060,
13069,20060,
13167,20140,
13175,20140,
42033,20180,
48341,20300,
40137,20340,
08067,20420,
40013,20460,
47045,20540,
24041,20660,
42089,20700,
08037,20780,
17035,20820,
17049,20820,
48481,20900,
05139,20980,
37139,21020,
40009,21120,
54083,21180,
32007,21220,
32011,21220,
53037,21260,
20017,21380,
20111,21380,
01031,21460,
26041,21540,
35039,21580,
01005,21640,
13239,21640,
06023,21700,
49033,21740,
56041,21740,
27091,21860,
54049,21900,
32001,21980,
27131,22060,
29187,22100,
47103,22190,
27111,22260,
39063,22300,
13017,22340,
37161,22580,
05123,22620,
19187,22700,
29169,22780,
19111,22800,
08087,22820,
01049,22840,
18023,23140,
21005,23180,
21073,23180,
21213,23190,
48171,23240,
17177,23300,
31053,23340,
39143,23380,
45021,23500,
48097,23620,
17095,23660,
39053,23680,
35031,23700,
20055,23780,
06003,23820,
32005,23820,
56005,23940,
21009,23980,
21169,23980,
36035,24100,
48221,24180,
27061,24330,
20009,24460,
18133,24600,
47059,24620,
25011,24640,
18031,24700,
28151,24740,
39037,24820,
28015,24900,
28083,24900,
45001,24940,
45047,24940,
28043,24980,
28097,24980,
40139,25100,
16013,25200,
16025,25200,
16063,25200,
29127,25300,
29173,25300,
05009,25460,
05101,25460,
31001,25580,
31035,25580,
31181,25580,
20051,25700,
49043,25720,
49051,25720,
42103,25770,
21101,25775,
21233,25775,
37181,25780,
48117,25820,
41049,25840,
41059,25840,
42085,25850,
26059,25880,
15001,25900,
35025,26020,
26005,26090,
41027,26220,
26061,26340,
26083,26340,
36021,26460,
42061,26500,
18069,26540,
48471,26660,
46005,26700,
20155,26740,
27085,26780,
42063,26860,
26043,27020,
55037,27020,
16081,27220,
56039,27220,
17137,27300,
17171,27300,
48073,27380,
38093,27420,
36013,27460,
18037,27540,
13157,27600,
13305,27700,
02110,27940,
30029,28060,
15007,28180,
31019,28260,
31099,28260,
33005,28300,
18113,28340,
29069,28380,
48265,28500,
02130,28540,
12087,28580,
37055,28620,
13039,28680,
48273,28780,
37107,28820,
29001,28860,
29197,28860,
41035,28900,
33001,29060,
41061,29260,
01017,29300,
13285,29300,
12023,29380,
51137,29470,
56001,29660,
35033,29780,
35047,29780,
28061,29860,
28067,29860,
37165,29900,
47099,29980,
29105,30060,
33009,30150,
33019,30150,
50017,30150,
50027,30150,
19149,30180,
42119,30260,
47117,30280,
42087,30380,
31047,30420,
31073,30420,
20175,30580,
17107,30660,
42035,30820,
18017,30900,
35028,31060,
26105,31220,
48005,31260,
37155,31300,
17109,31380,
18077,31500,
21107,31580,
05027,31620,
05059,31680,
55071,31820,
39167,31930,
26109,31940,
55075,31940,
18053,31980,
37111,32000,
39101,32020,
17199,32060,
26103,32100,
27083,32140,
29195,32180,
19127,32260,
47183,32280,
51089,32300,
51690,32300,
29147,32340,
19033,32380,
19195,32380,
36089,32390,
21083,32460,
40121,32540,
28113,32620,
28147,32620,
47177,32660,
20113,32700,
42039,32740,
55033,32860,
28023,32940,
28075,32940,
29007,33020,
40115,33060,
21013,33180,
13009,33300,
22119,33380,
48363,33420,
46035,33580,
46061,33580,
46111,33580,
29175,33620,
18181,33900,
36105,33910,
08085,33940,
37031,33980,
22101,34020,
16057,34140,
53025,34180,
13071,34220,
05005,34260,
16039,34300,
37171,34340,
26073,34380,
48063,34420,
48343,34420,
48449,34420,
21011,34460,
21165,34460,
21173,34460,
17081,34500,
39083,34540,
21035,34660,
45043,34680,
19139,34700,
40101,34780,
48347,34860,
25019,34880,
22029,35020,
28001,35020,
28063,35020,
22069,35060,
37049,35100,
37103,35100,
37137,35100,
45071,35140,
18065,35220,
22045,35340,
39157,35420,
41041,35440,
47029,35460,
27015,35580,
04023,35700,
31119,35740,
31139,35740,
31167,35740,
31111,35820,
31113,35820,
37193,35900,
39077,35940,
53029,36020,
24047,36180,
42121,36340,
12093,36380,
36009,36460,
36077,36580,
16075,36620,
41045,36620,
22097,36660,
45075,36700,
19123,36820,
53001,36830,
17011,36837,
17099,36837,
17155,36837,
20059,36840,
19179,36900,
27147,36940,
26155,37020,
28071,37060,
28161,37060,
01045,37120,
32023,37220,
12107,37260,
48001,37300,
48179,37420,
48393,37420,
05055,37500,
47079,37540,
48277,37580,
48387,37580,
04007,37740,
19125,37800,
18103,37940,
26047,37950,
28109,38100,
46065,38180,
46117,38180,
21071,38210,
21195,38210,
05025,38220,
05069,38220,
20037,38260,
48153,38380,
48189,38380,
55043,38420,
36019,38460,
18099,38500,
40071,38620,
17105,38700,
29023,38740,
53009,38820,
48057,38920,
39145,39020,
53031,39040,
42107,39060,
49007,39220,
53075,39420,
09150,39480,
17001,39500,
29111,39500,
48489,39700,
06103,39780,
27049,39860,
16043,39940,
16065,39940,
55005,39960,
18177,39980,
21065,40080,
21151,40080,
21203,40080,
08045,40090,
08097,40090,
48427,40100,
56013,40180,
37083,40260,
37131,40260,
17141,40300,
37153,40460,
56037,40540,
29161,40620,
41019,40700,
35005,40740,
35027,40760,
01059,40770,
05115,40780,
05149,40780,
22061,40820,
50021,40860,
04009,40940,
42047,41260,
39029,41400,
20143,41460,
20169,41460,
16017,41760,
37105,41820,
26033,42300,
42015,42380,
31007,42420,
31157,42420,
01071,42460,
10005,42580,
05145,42620,
29159,42740,
42109,42780,
01047,42820,
45073,42860,
36099,42900,
47155,42940,
18071,42980,
55078,43020,
55115,43020,
40125,43060,
37045,43140,
47003,43180,
53045,43220,
56033,43260,
04017,43320,
39149,43380,
29133,43460,
29201,43460,
35017,43500,
48415,43660,
21199,43700,
42111,43740,
06109,43760,
55081,43890,
46081,43940,
19041,43980,
19059,44020,
28105,44260,
28155,44260,
13031,44340,
13109,44340,
08081,44460,
08107,44460,
48143,44500,
08075,44540,
17195,44580,
55097,44620,
40119,44660,
19021,44740,
26149,44780,
48223,44860,
13055,44900,
42093,44980,
42097,44980,
06035,45000,
48353,45020,
40021,45140,
01037,45180,
01121,45180,
35055,45340,
17021,45380,
41065,45520,
13293,45580,
13131,45620,
13275,45620,
39147,45660,
13277,45700,
13287,45700,
13257,45740,
09160,45860,
48389,45880,
01109,45980,
06057,46020,
47031,46100,
47127,46100,
28057,46180,
28081,46180,
28117,46180,
06045,46380,
47131,46460,
39021,46500,
48463,46620,
39161,46780,
46027,46820,
49047,46860,
48487,46900,
28149,46980,
13209,47080,
13279,47080,
18083,47180,
25007,47240,
18169,47340,
27167,47420,
